CVE,Code,Severity
CVE-2004-0975,1,2.1 LOW
CVE-2004-0976,1,2.1 LOW
CVE-2004-0980,1,10.0 HIGH
CVE-2004-0981,1,10.0 HIGH
CVE-2004-0982,1,10.0 HIGH
CVE-2004-0984,1,7.2 HIGH
CVE-2004-0986,1,7.5 HIGH
CVE-2004-0989,1,10.0 HIGH
CVE-2004-0990,1,10.0 HIGH
CVE-2004-0991,1,7.5 HIGH
CVE-2004-0993,1,10.0 HIGH
CVE-2004-0994,1,10.0 HIGH
CVE-2004-0996,1,2.1 LOW
CVE-2004-0998,1,7.5 HIGH
CVE-2004-1000,1,2.1 LOW
CVE-2004-1001,1,4.6 MEDIUM
CVE-2004-1002,1,7.5 HIGH
CVE-2004-1004,1,7.5 HIGH
CVE-2004-1005,1,7.5 HIGH
CVE-2004-1007,1,5.0 MEDIUM
CVE-2004-1008,1,10.0 HIGH
CVE-2004-1009,1,5.0 MEDIUM
CVE-2004-1010,1,10.0 HIGH
CVE-2004-1012,1,10.0 HIGH
CVE-2004-1013,1,10.0 HIGH
CVE-2004-1014,1,5.0 MEDIUM
CVE-2004-1026,1,10.0 HIGH
CVE-2004-1034,1,10.0 HIGH
CVE-2004-1035,1,6.4 MEDIUM
CVE-2004-1051,1,7.2 HIGH
CVE-2004-1055,1,6.8 MEDIUM
CVE-2004-1076,1,7.2 HIGH
CVE-2004-1090,1,5.0 MEDIUM
CVE-2004-1091,1,5.0 MEDIUM
CVE-2004-1092,1,5.0 MEDIUM
CVE-2004-1093,1,5.0 MEDIUM
CVE-2004-1096,1,7.5 HIGH
CVE-2004-1110,1,2.1 LOW
CVE-2004-1113,1,10.0 HIGH
CVE-2004-1125,1,9.3 HIGH
CVE-2004-1138,1,7.2 HIGH
CVE-2004-1143,1,7.5 HIGH
CVE-2004-1147,1,10.0 HIGH
CVE-2004-1148,1,5.0 MEDIUM
CVE-2004-1154,1,10.0 HIGH
CVE-2004-1170,1,10.0 HIGH
CVE-2004-1174,1,5.0 MEDIUM
CVE-2004-1175,1,7.5 HIGH
CVE-2004-1176,1,7.5 HIGH
CVE-2004-1177,1,4.3 MEDIUM
CVE-2004-1179,1,2.1 LOW
CVE-2004-1180,1,5.0 MEDIUM
CVE-2004-1182,1,7.5 HIGH
CVE-2004-1183,1,5.1 MEDIUM
CVE-2004-1184,1,4.6 MEDIUM
CVE-2004-1185,1,7.5 HIGH
CVE-2004-1186,1,5.0 MEDIUM
CVE-2004-1189,1,7.2 HIGH
CVE-2004-1204,1,2.1 LOW
CVE-2004-1224,1,4.6 MEDIUM
CVE-2004-1256,1,10.0 HIGH
CVE-2004-1258,1,10.0 HIGH
CVE-2004-1267,1,6.5 MEDIUM
CVE-2004-1268,1,2.1 LOW
CVE-2004-1269,1,5.0 MEDIUM
CVE-2004-1270,1,2.1 LOW
CVE-2004-1272,1,10.0 HIGH
CVE-2004-1284,1,10.0 HIGH
CVE-2004-1287,1,10.0 HIGH
CVE-2004-1289,1,10.0 HIGH
CVE-2004-1294,1,5.0 MEDIUM
CVE-2004-1296,1,2.1 LOW
CVE-2004-1297,1,10.0 HIGH
CVE-2004-1304,1,10.0 HIGH
CVE-2004-1307,1,7.5 HIGH
CVE-2004-1308,1,10.0 HIGH
CVE-2004-1309,1,10.0 HIGH
CVE-2004-1310,1,10.0 HIGH
CVE-2004-1311,1,10.0 HIGH
CVE-2004-1318,1,4.3 MEDIUM
CVE-2004-1340,1,2.1 LOW
CVE-2004-1341,1,4.3 MEDIUM
CVE-2004-1342,1,7.5 HIGH
CVE-2004-1343,1,5.0 MEDIUM
CVE-2004-1377,1,2.1 LOW
CVE-2004-1382,1,2.1 LOW
CVE-2004-1388,1,7.5 HIGH
CVE-2004-1397,1,4.3 MEDIUM
CVE-2004-1405,1,7.5 HIGH
CVE-2004-1438,1,2.1 LOW
CVE-2004-1440,1,7.5 HIGH
CVE-2004-1453,1,2.1 LOW
CVE-2004-1462,1,7.5 HIGH
CVE-2004-1463,1,10.0 HIGH
CVE-2004-1471,1,7.1 HIGH
CVE-2004-1476,1,5.1 MEDIUM
CVE-2004-1484,1,5.0 MEDIUM
CVE-2004-1487,1,5.0 MEDIUM
CVE-2004-1488,1,5.0 MEDIUM
CVE-2004-1559,1,4.3 MEDIUM
CVE-2004-1561,1,7.5 HIGH
CVE-2004-1584,1,5.0 MEDIUM
CVE-2004-1617,1,5.0 MEDIUM
